"t (s),""Inclination (deg)"",""Rotation (deg)"""
2.670367208e2,7.724377264e-1,-2.519432984e1
2.675454266e2,7.747910180e-1,-2.476465268e1
2.685628913e2,7.699513829e-1,-2.445826195e1
2.690716413e2,7.795143240e-1,-2.477681895e1
2.695803782e2,7.779112690e-1,-2.495748092e1
2.700890972e2,7.756019549e-1,-2.460175400e1
2.705978363e2,7.737563365e-1,-2.475405193e1
2.711065933e2,7.790542508e-1,-2.448647569e1
2.716153115e2,7.752298575e-1,-2.468507710e1
2.721240265e2,7.790210409e-1,-2.462596122e1
2.726327400e2,7.777295563e-1,-2.517366220e1
2.731414480e2,7.775583896e-1,-2.503964178e1
2.736501699e2,7.805221537e-1,-2.486397609e1
2.741588859e2,7.773679855e-1,-2.474210579e1
2.746675813e2,7.767052679e-1,-2.523869198e1
2.751762763e2,7.737121154e-1,-2.496747058e1
2.756849965e2,7.780584960e-1,-2.462610853e1
2.761936925e2,7.781705572e-1,-2.482955250e1
2.767023856e2,7.739173218e-1,-2.482104714e1
2.772110746e2,7.711815968e-1,-2.463833556e1
2.777197698e2,7.719472815e-1,-2.515075485e1
2.782284728e2,7.767772414e-1,-2.501804368e1
2.787371569e2,7.772992049e-1,-2.502348413e1
2.792458669e2,7.749026553e-1,-2.537002099e1
2.797545894e2,7.797266358e-1,-2.490988806e1
2.807720304e2,7.787924235e-1,-2.503929880e1
2.812807474e2,7.808470311e-1,-2.482743116e1
2.817894538e2,7.736481875e-1,-2.458634591e1
2.822981398e2,7.721502029e-1,-2.497276925e1
2.828068310e2,7.714427221e-1,-2.468659312e1
2.833155140e2,7.678427089e-1,-2.484374857e1
